user_id,search_term,X,Y,info_need,need_probability,need_id,age,gender,education_level,job_type,income,previous_experience,intent_onetime_invest,intent_savingsplan,intent_active_trading,interested_in_shares,interested_in_funds,interested_in_etfs,interested_in_bonds,interested_in_levers,interested_in_certificates,interested_in_levers_or_certificates,plans_larger_invest,consider_ing,consider_comdirect,consider_spk,consider_etoro,consider_traderep
a5b96421ff1fbe265558ab46107dda1e,axi investments,13.9064865,8.662046,Capital Investments,0.993,0,55,Male,Bachelor degree,Employee,2001€ - 2500€,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
85df0da6c33a7e6f8afe17ca4f8c7625,commerzbank online,10.092421,8.229294,ETFs,0.959,12,68,Male,Master degree,Other,2001€ - 2500€,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c5ce739c80a134767901ab6c91f19bb9,sicherheit,13.591435,5.3321323,Safe and Reliable Providers,0.999,11,63,Female,Vocational training,Employee,2001€ - 2500€,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
c5ce739c80a134767901ab6c91f19bb9,sicherheit wertpapiere,13.490471,5.365268,Safe and Reliable Providers,0.999,11,63,Female,Vocational training,Employee,2001€ - 2500€,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
c5ce739c80a134767901ab6c91f19bb9,zinsen wertpapiere,11.794185,8.61609,Securities,0.988,8,63,Female,Vocational training,Employee,2001€ - 2500€,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
95b3760413a28e77bf380daf8881e6e2,wertpapieranlage beratung,12.962238,8.663056,Investment Providers,0.96,13,49,Male,High school diploma,Employee,2501€ - 3000€,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
95b3760413a28e77bf380daf8881e6e2,wertpapieranlage transparente beratung,14.291,5.4816017,Investment Transparency,0.997,7,49,Male,High school diploma,Employee,2501€ - 3000€,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3e28b14828c85f978aa31782c059f262,anlagemöglichkeiten wertpapiere,13.013579,8.197476,Investment Providers,0.953,13,58,Male,Vocational training,Living off savings,1501€ - 2000€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
848ff9c9628e4bbfb62ca8bb58aa30e2,wertpapier anbieter,10.714675,6.415852,Where to Trade,1.0,14,22,Female,Higher secondary school,Civil servant,1501€ - 2000€,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
848ff9c9628e4bbfb62ca8bb58aa30e2,in wertpapiere investieren,14.377468,7.9838314,Capital Investments,0.999,0,22,Female,Higher secondary school,Civil servant,1501€ - 2000€,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
848ff9c9628e4bbfb62ca8bb58aa30e2,die besten anbieter für wertpapiere,11.172359,5.786348,Where to Trade,0.685,14,22,Female,Higher secondary school,Civil servant,1501€ - 2000€,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
848ff9c9628e4bbfb62ca8bb58aa30e2,wertpapiere sparkasse,12.606746,9.6614065,Investments at Local Bank,1.0,9,22,Female,Higher secondary school,Civil servant,1501€ - 2000€,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ed0f65512991930a42d62f980e220aa3,aktien kaufen,10.926276,7.170836,Where to Trade,0.986,14,63,Male,Master degree,Civil servant,4001€ - 6000€,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
22a52d3e74ea91df7991500fa4d530d4,wertpapiere investieren verifizert,14.228623,8.310831,Capital Investments,1.0,0,39,Male,High school diploma,Self-employed,1501€ - 2000€,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2bc6e3c2face5905c4e62f92d179ee5e,keine depotgebühr günstige transaktionsgebühren,8.615471,4.7082276,Brokerage Accounts,0.985,3,51,Male,Vocational training,Civil servant,3001€ - 4000€,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
8f406b92baa0ed13759b7d0bd6bd084e,aktienanbieter,10.275796,6.9174566,Where to Trade,0.997,14,66,Female,Vocational training,Other,1501€ - 2000€,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
da02a02f82f598c4a977080cd345475a,wertpapier anbieter erfahren sicher preiswert,12.739565,5.5306196,Free and Reputable Providers,0.878,10,68,Female,Higher secondary school,Other,1001€ - 1500€,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
da02a02f82f598c4a977080cd345475a,wertpapier anbieter sicher,13.1735115,4.908409,Safe and Reliable Providers,1.0,11,68,Female,Higher secondary school,Other,1001€ - 1500€,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
da02a02f82f598c4a977080cd345475a,wertpapier anbieter sicher commerzbank,13.060034,4.9778433,Safe and Reliable Providers,1.0,11,68,Female,Higher secondary school,Other,1001€ - 1500€,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9bc9a9618f69d72c2d07e8c33070f95d,vermögensberatung in altenholz,12.772896,8.876031,Investment Providers,0.986,13,53,Male,Vocational training,Other,2001€ - 2500€,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
d6153a48769462b392fff2bdef8ada4b,"geld anlegen ,sicher ,kleine geldsumme und auch im alter möglich",13.501894,6.3176174,Risk and Return,0.926,2,53,Female,Lower secondary school,Living off savings,1501€ - 2000€,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115ea9bf6f709b2724a9b0f25fa2d9ff,wertpapiere,11.636647,8.622233,Securities,0.992,8,42,Male,Vocational training,Employee,1501€ - 2000€,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
115ea9bf6f709b2724a9b0f25fa2d9ff,geld in wertpapiere anlegen,12.775643,7.2943587,Investment Providers,0.852,13,42,Male,Vocational training,Employee,1501€ - 2000€,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
115ea9bf6f709b2724a9b0f25fa2d9ff,geld in wertpapiere investieren,14.37531,8.051176,Capital Investments,1.0,0,42,Male,Vocational training,Employee,1501€ - 2000€,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0a5a5259fb91e6453694ef4846677c2a,investment beratung,13.668304,8.771112,Capital Investments,0.922,0,49,Male,High school diploma,Employee,4001€ - 6000€,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
ca9732be68038ccad85a42ff02ccb89c,dws,10.539224,9.518311,Brands,0.992,5,66,Male,Master degree,Other,3001€ - 4000€,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
c088f1603fa4add7212ee5b3205c902a,anlage wertpapiere,12.785679,8.260182,Investment Providers,0.975,13,62,Female,Bachelor degree,Employee,1501€ - 2000€,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
16452dd570eb98758991b0694c286867,depot deutsch kostenfrei,5.8214407,5.8748074,German Providers,1.0,6,55,Male,Vocational training,Employee,2501€ - 3000€,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
2a2fdff790bf057b0d8339f4af523bf3,aktien online depot vergleich,8.231906,5.8066382,Brokerage Accounts,1.0,3,56,Male,Vocational training,Self-employed,1001€ - 1500€,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5167d0e9b8aa164d1ab56afeed60bd8b,wertpapiere kaufen,11.594218,7.065731,Where to Trade,0.992,14,51,Male,Higher secondary school,Employee,2001€ - 2500€,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5167d0e9b8aa164d1ab56afeed60bd8b,wertpapiere kaufen anbieter,11.460324,6.8529997,Where to Trade,0.998,14,51,Male,Higher secondary school,Employee,2001€ - 2500€,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
c84e5479436d09af79768d7bdc7b2107,postbank,10.159233,8.300206,ETFs,0.957,12,43,Female,PhD,Employee,>9000€,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
912ed679339f9f20c16528271335063e,anbieter für wertpapiere,10.654311,6.438598,Where to Trade,1.0,14,59,Female,High school diploma,Employee,501€ - 1000€,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16b14cb1418f1933331953a6b3e0d454,online broker vergleich,7.31076,8.023975,Brokers,1.0,1,56,Female,Bachelor degree,Employee,3001€ - 4000€,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
69b8813e38d7978d74adfa044ac84b89,etf anbieter,9.020501,8.921697,ETFs,0.972,12,36,Female,Master degree,Employee,2001€ - 2500€,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
08b225577a3b77143e1c3a80ce0ec084,geld in wertpapiere anbieter,12.960605,7.4157953,Investment Providers,0.922,13,22,Male,Vocational training,Employee,1001€ - 1500€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
08b225577a3b77143e1c3a80ce0ec084,finanzen.net zero erfahrungen,10.393133,4.9013047,Free and Reputable Providers,0.992,10,22,Male,Vocational training,Employee,1001€ - 1500€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58fc7afd1ebd4d59f64200476826367a,anbieter für wertpaierkauf,11.050491,6.4732695,Where to Trade,1.0,14,66,Male,Vocational training,Other,2001€ - 2500€,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
643f74d4bdfc5223191af68bbd0dc901,aktien per app handeln,9.639726,6.6907945,Online Brokerage and Apps,0.825,4,33,Male,Master degree,Employee,2501€ - 3000€,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1
643f74d4bdfc5223191af68bbd0dc901,finanztipp trading app,8.773055,7.3842235,Online Brokerage and Apps,0.993,4,33,Male,Master degree,Employee,2501€ - 3000€,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1
17be80b9871c17fb37ec7f21bb502e66,günstiger anbieter im wertpapierhandel,11.236752,5.8705378,Where to Trade,0.731,14,68,Male,Bachelor degree,Employee,4001€ - 6000€,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
a83f9e04c9b703febe0f6ca4eb16399b,bonus gelanlage aktien,13.564037,6.839439,Investment Transparency,0.638,7,40,Female,Vocational training,Employee,1501€ - 2000€,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2b939e1c381a48deb78bc0324c9ce94b,aktien kaufen,10.926276,7.170836,Where to Trade,0.986,14,42,Male,Master degree,Employee,6001€ - 9000€,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
288044e2e3ccf96ab73d76229678cffe,geldanlage möglichkeiten,13.245037,7.978226,Investment Providers,0.834,13,60,Female,Vocational training,Living off savings,501€ - 1000€,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
b6a2f3b48514a71ee7e59925f0796936,wertpapiere vergleich,9.217183,6.5531025,Online Brokerage and Apps,0.934,4,43,Male,Vocational training,Employee,1501€ - 2000€,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
b6a2f3b48514a71ee7e59925f0796936,wertpapiere ing,11.647817,8.501338,Securities,0.99,8,43,Male,Vocational training,Employee,1501€ - 2000€,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
091c004ad4228dd65b818deb4e313fc0,sparen einfluss,12.274054,9.546458,Investments at Local Bank,1.0,9,47,Male,Master degree,Employee,2001€ - 2500€,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
414e82b7ee6fcf3d617cc5a637a84a78,aktien kaufen sparkasse,12.44044,9.49162,Investments at Local Bank,1.0,9,53,Male,Master degree,Employee,>9000€,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0
83fc66678e3930fa7b567b3db54d43a2,leicht verständliche wertpapiere,12.912275,5.5586367,Free and Reputable Providers,0.798,10,69,Female,Vocational training,Other,1001€ - 1500€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0cea042b8846c98dea5ce6ad26374783,aktien kaufen,10.926276,7.170836,Where to Trade,0.986,14,67,Male,Master degree,Employee,6001€ - 9000€,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
529729fefea1cc9c36ae64b0c88211a4,deka investment,10.813401,10.339153,Brands,1.0,5,69,Male,Vocational training,Other,1001€ - 1500€,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
57ddd911a6741cc29888aafcc3f01195,angebote wertpapiere seriös ehrlich,11.550487,5.133797,Free and Reputable Providers,0.975,10,33,Female,Master degree,Employee,2501€ - 3000€,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
97d6752e73ac7042fa94f4001e2481e4,wertpapierkauf sichere wertpapiere,11.971706,6.463175,Where to Trade,0.924,14,50,Female,Vocational training,Employee,2501€ - 3000€,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
97d6752e73ac7042fa94f4001e2481e4,wertpapierkauf sichere wertpapiere filiale in der nähe,11.877633,6.7743807,Where to Trade,0.992,14,50,Female,Vocational training,Employee,2501€ - 3000€,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
97d6752e73ac7042fa94f4001e2481e4,wertpapierkauf sichere wertpapiere filiale in der nähe münchen,11.973617,6.9690123,Where to Trade,0.975,14,50,Female,Vocational training,Employee,2501€ - 3000€,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
4c9f38168ee85831a08244a4d4dac0f9,wertpapiere,11.636647,8.622233,Securities,0.992,8,31,Female,Bachelor degree,Employee,2501€ - 3000€,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ca1d89c4f636d4984a5d6bcabc33e77e,depot eröffnen,8.026207,5.0992317,Brokerage Accounts,1.0,3,30,Male,Master degree,Employee,2001€ - 2500€,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
84f12110b490c0731ec6014beeeecdcd,wertpapier investieren,14.3563,8.331009,Capital Investments,1.0,0,53,Female,Vocational training,Employee,1001€ - 1500€,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eb384d4b3ae50e24959aae734df2bbf4,wertpapiere kaufen empfehlung,11.644733,6.990576,Where to Trade,0.994,14,38,Female,High school diploma,Employee,2501€ - 3000€,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
eb384d4b3ae50e24959aae734df2bbf4,wertpapiere kaufen einfach,12.188824,6.9359093,Where to Trade,0.888,14,38,Female,High school diploma,Employee,2501€ - 3000€,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
eb384d4b3ae50e24959aae734df2bbf4,wertpapiere kaufen easy,12.058916,6.4882283,Where to Trade,0.902,14,38,Female,High school diploma,Employee,2501€ - 3000€,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
eb384d4b3ae50e24959aae734df2bbf4,wertpapiere kaufen easy app,12.022946,6.596342,Where to Trade,0.964,14,38,Female,High school diploma,Employee,2501€ - 3000€,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
eb384d4b3ae50e24959aae734df2bbf4,trading apps vergleich,9.052299,6.9169383,Online Brokerage and Apps,0.974,4,38,Female,High school diploma,Employee,2501€ - 3000€,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8dcb92155a16a65310d2066c6005a137,https://www.etoro.com/de/stocks/,11.446569,8.074317,Where to Trade,0.596,14,44,Female,Vocational training,Employee,2001€ - 2500€,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
02ab748483f0e00dca8c6d9f8c698826,wertpapier,11.560616,8.524622,Securities,0.986,8,24,Female,High school diploma,Civil servant,2001€ - 2500€,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
02ab748483f0e00dca8c6d9f8c698826,wertpapier investieren,14.3563,8.331009,Capital Investments,1.0,0,24,Female,High school diploma,Civil servant,2001€ - 2500€,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
13b92b4f923de8e89cd962c3d70775c1,wertpapiere englisch,11.530649,8.55517,Securities,0.986,8,35,Female,Master degree,Employee,2001€ - 2500€,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13b92b4f923de8e89cd962c3d70775c1,wertpapiere kaufen,11.594218,7.065731,Where to Trade,0.992,14,35,Female,Master degree,Employee,2001€ - 2500€,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18930ee14b4d4f872ceb5747d941cd09,deka investment,10.813401,10.339153,Brands,1.0,5,37,Male,Vocational training,Employee,2001€ - 2500€,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34e74479953cc4b3b042e5d0a3402c1a,geldanlage sicher erfahren,13.848197,6.477737,Investment Transparency,0.528,7,36,Female,Vocational training,Employee,1501€ - 2000€,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
34e74479953cc4b3b042e5d0a3402c1a,geldanlage sicher,13.969176,6.415153,Investment Transparency,0.643,7,36,Female,Vocational training,Employee,1501€ - 2000€,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
5102e3383b4a5100f630e92e1117beec,smava,10.675765,9.35904,Brands,0.99,5,42,Female,Vocational training,Employee,2501€ - 3000€,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
5102e3383b4a5100f630e92e1117beec,fonds anbieter,13.163599,7.8275313,Investment Providers,0.932,13,42,Female,Vocational training,Employee,2501€ - 3000€,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
5102e3383b4a5100f630e92e1117beec,aktiengesellschaft,10.2585945,7.00579,Where to Trade,0.998,14,42,Female,Vocational training,Employee,2501€ - 3000€,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
5102e3383b4a5100f630e92e1117beec,geldanlage 2022,16.123093,6.117286,Money Investments in 2022,1.0,15,42,Female,Vocational training,Employee,2501€ - 3000€,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
323e5534956911c1a2b2db845b66c5bd,aktien anbieter vergleich,9.3527155,6.6120944,Online Brokerage and Apps,0.935,4,23,Female,Master degree,Student,1001€ - 1500€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
323e5534956911c1a2b2db845b66c5bd,oskar aktien,10.2159605,7.007471,Where to Trade,0.996,14,23,Female,Master degree,Student,1001€ - 1500€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
323e5534956911c1a2b2db845b66c5bd,oskar aktien erfahrungen,10.03739,7.069632,Where to Trade,0.963,14,23,Female,Master degree,Student,1001€ - 1500€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7618e0ba0c9399ac47b74d09c2dd2c4c,wertpapiere investieren,14.355651,8.133083,Capital Investments,1.0,0,36,Female,Bachelor degree,Employee,2001€ - 2500€,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
fc0e81bec8f22930df775583d47e947f,kostengünstig wertpapiere handeln,12.181177,5.8626304,Risk and Return,0.851,2,27,Male,High school diploma,Employee,2001€ - 2500€,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
18d98ecd6eaed6c3f29410ae9cffd576,depot kostenlos etf,8.103954,4.467138,Brokerage Accounts,0.983,3,35,Male,Vocational training,Employee,2001€ - 2500€,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8352215f7d861101ead2edd8518152f8,geld investieren für anfänger sicher,14.374555,6.6647205,Investment Transparency,0.627,7,38,Male,Vocational training,Employee,1001€ - 1500€,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6aa57696043be46dff3c2a48cb89fc1c,wertpapieranbieter seriös,11.576247,5.0780635,Free and Reputable Providers,0.965,10,22,Female,Vocational training,Employee,2001€ - 2500€,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
6aa57696043be46dff3c2a48cb89fc1c,wertpapieranbieter bekanntester,11.051809,5.9088845,Where to Trade,0.874,14,22,Female,Vocational training,Employee,2001€ - 2500€,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
272cd9d1f0b4e4ac7831c1e17c073768,anbieter aktien depot,8.396217,5.309484,Brokerage Accounts,1.0,3,38,Male,Master degree,Employee,3001€ - 4000€,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
272cd9d1f0b4e4ac7831c1e17c073768,anbieter aktien,10.253808,6.7746162,Where to Trade,0.993,14,38,Male,Master degree,Employee,3001€ - 4000€,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2c0f9fa6c9244718075e6a7ae6848292,wertpapiere online handeln,9.831845,6.2110944,Online Brokerage and Apps,0.701,4,50,Male,Master degree,Employee,3001€ - 4000€,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
2c0f9fa6c9244718075e6a7ae6848292,aktien handeln fair und zuverlässig,13.040266,5.1070848,Safe and Reliable Providers,1.0,11,50,Male,Master degree,Employee,3001€ - 4000€,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
2c0f9fa6c9244718075e6a7ae6848292,erfahrungen online trading plattformen,9.327776,7.437573,Online Brokerage and Apps,0.967,4,50,Male,Master degree,Employee,3001€ - 4000€,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
581b74c0461f11f48811551ce90e5e3d,dws aktie,10.805723,9.2404175,Brands,0.976,5,68,Male,Master degree,Other,3001€ - 4000€,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
f4d20390a129531f38fcca3964a5eb95,sparkasse,10.787057,9.161092,Brands,0.956,5,42,Male,Vocational training,Employee,2501€ - 3000€,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
28386b77f1b2c72e8f52e8be90a95623,aktien trading,10.280597,6.9901586,Where to Trade,0.998,14,41,Male,Master degree,Employee,1501€ - 2000€,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
28386b77f1b2c72e8f52e8be90a95623,depot trading,8.142738,5.2326427,Brokerage Accounts,1.0,3,41,Male,Master degree,Employee,1501€ - 2000€,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
28386b77f1b2c72e8f52e8be90a95623,depot eröffnen,8.026207,5.0992317,Brokerage Accounts,1.0,3,41,Male,Master degree,Employee,1501€ - 2000€,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
0faac913df011182b8430e8cee0eaf25,wertpapier anlegen,12.227848,7.6335926,Where to Trade,0.579,14,48,Female,Vocational training,Employee,1001€ - 1500€,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
67326209c5a3446494a392b369242350,plus500,12.134889,7.9818697,Securities,0.821,8,66,Male,Higher secondary school,Other,3001€ - 4000€,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65e0863810ce02f2e1fe4205e917571b,exchange rate,9.012493,7.656941,Online Brokerage and Apps,0.996,4,25,Female,Higher secondary school,Employee,1001€ - 1500€,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
075713bfac88bae2ee01a18b6ac56b0e,aktien kaufen,10.926276,7.170836,Where to Trade,0.986,14,45,Male,Vocational training,Employee,2501€ - 3000€,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
075713bfac88bae2ee01a18b6ac56b0e,aktien kaufen wertpapiere,11.096201,7.080983,Where to Trade,0.992,14,45,Male,Vocational training,Employee,2501€ - 3000€,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
88210fc637b89028e655a9a5941ff283,wertpapiere investieren,14.355651,8.133083,Capital Investments,1.0,0,31,Female,Master degree,Employee,2501€ - 3000€,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
88210fc637b89028e655a9a5941ff283,investieren in wertpapiere,14.442972,8.14346,Capital Investments,1.0,0,31,Female,Master degree,Employee,2501€ - 3000€,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
21419db80828df89e1fd0ab8c0ce70ba,kosten online broker vergleich,7.27485,8.072688,Brokers,1.0,1,67,Male,Master degree,Other,3001€ - 4000€,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
21419db80828df89e1fd0ab8c0ce70ba,online broker alle handelsplätze,7.1422634,7.989249,Brokers,1.0,1,67,Male,Master degree,Other,3001€ - 4000€,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
21419db80828df89e1fd0ab8c0ce70ba,online broker angebote,7.136394,8.040199,Brokers,1.0,1,67,Male,Master degree,Other,3001€ - 4000€,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
21419db80828df89e1fd0ab8c0ce70ba,online broker produkte,7.168293,8.054628,Brokers,1.0,1,67,Male,Master degree,Other,3001€ - 4000€,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
21419db80828df89e1fd0ab8c0ce70ba,kosten broker,7.4909635,8.431626,Brokers,1.0,1,67,Male,Master degree,Other,3001€ - 4000€,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
21419db80828df89e1fd0ab8c0ce70ba,produkte broker,7.5781784,8.341798,Brokers,1.0,1,67,Male,Master degree,Other,3001€ - 4000€,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
